MMSI,Speed,COG,Destination,Ship_type,Gross_tonnage,Length,Breadth
212209000,10.1377,64.3074,Hamina,Cargo,3416,94.91,15.34
212436000,13.5256,77.0755,Hamina,Tanker,6280,116.9,18.0
219082000,9.9416,74.6762,Hamina,Tanker,9980,141.2,21.9
219083000,11.6038,74.7529,Hamina,Tanker,9980,141.2,21.6
219426000,11.9203,56.3253,Hamina,Tanker,3219,99.9,15.0
229998000,11.7433,70.9708,Hamina,Tanker,4364,122.0,16.0
235009040,8.3657,65.7831,Hamina,Cargo,3978,99.95,16.5
236039000,10.0994,74.8907,Hamina,Cargo,2280,82.61,12.3
246591000,9.1722,74.6052,Hamina,Cargo,8620,137.07,19.11
247697000,10.4959,75.2065,Hamina,Tanker,4896,118.62,16.4
259319000,8.4474,74.9096,Hamina,Tanker,6045,123.6,19.53
259896000,10.2868,76.85300000000001,Hamina,Tanker,9056,140.2,22.15
305929000,9.5603,73.2447,Hamina,Cargo,1905,87.91,11.41
440363000,9.9033,74.5886,Hamina,Cargo,8521,136.0,32.0
636017466,8.626,67.5312,Hamina,Cargo,1985,82.51,12.5
245772000,12.8776,69.6004,Hamina,Cargo,4235,108.5,15.93
249128000,11.6121,65.6221,Hamina,Tanker,3300,99.9,15.0
259372000,12.7513,157.2673,Hamina,Tanker,6045,123.6,19.23
305677000,10.5595,63.7482,Hamina,Cargo,6668,106.97,18.42
230044260,8.7386,85.4233,Helsinki,Tug,100,15.0,5.0
210434000,7.945,66.7556,Kotka,Cargo,1999,82.4,12.5
236029000,10.128,73.4091,Kotka,Cargo,2301,82.5,12.4
244850900,10.7549,73.5142,Kotka,Cargo,6540,134.5,16.5
245241000,11.1784,74.5226,Kotka,Cargo,2862,94.7,13.4
245301000,11.4588,65.1668,Kotka,Cargo,2622,88.3,12.9
246169000,9.6044,73.3226,Kotka,Cargo,2548,89.0,12.5
246188000,10.8921,62.1849,Kotka,Cargo,4035,111.4,13.35
255801580,13.6877,57.4511,Kotka,Cargo,11596,125.5,18.8
210974000,10.2631,74.4914,Kronshtadt,Cargo,2984,89.97,15.4
259721000,12.3156,69.7069,Kronshtadt,Tanker,8829,134.71,20.83
235010600,10.7701,79.7741,Kunda,Cargo,5257,116.98,16.87
244130641,7.4769,77.3885,Kunda,Cargo,2528,89.99,12.5
212464000,13.4702,84.6996,Muuga,Tanker,6556,116.9,18.0
240797000,8.9487,80.4384,Muuga,Tanker,81502,274.0,48.04
244790509,7.7074,74.5182,Muuga,Cargo,3603,101.15,14.4
249207000,10.9503,74.4038,Muuga,Tanker,11935,144.05,23.03
256827000,9.7621,86.4867,Muuga,Tanker,7833,150.15,17.3
276832000,9.7647,109.5592,Muuga,Tug,286,33.3,9.22
305049000,10.1394,82.2372,Muuga,Cargo,12192,141.35,22.5
305198000,9.7893,63.2467,Muuga,Cargo,1987,81.2,12.4
309175000,7.7944,74.0244,Muuga,Cargo,1513,82.31,11.3
325974000,8.6937,73.9002,Muuga,Cargo,5796,122.02,18.7
477043500,11.9996,77.4823,Muuga,Tanker,61990,247.0,44.0
305293000,9.8454,77.8443,Muuga,Cargo,15633,161.09,25.43
218801000,7.6048,83.1993,Paldiski,Cargo,1587,82.18,11.3
230182000,9.9123,130.6157,Paldiski,Tug,298,30.99,10.49
230601000,12.3453,130.5495,Paldiski,Cargo,3259,101.8,18.8
230663000,7.405,89.3423,Paldiski,Cargo,3405,103.0,13.6
230984090,8.1728,129.4353,Paldiski,Tug,107,23.8,7.0
231844000,10.2645,115.2404,Paldiski,Cargo,2876,88.94,13.2
247386800,8.4866,79.8199,Paldiski,Cargo,24133,191.44,26.2
257033170,5.544,98.7704,Paldiski,Tanker,27427,182.5,32.23
376593000,9.5826,82.416,Paldiski,Cargo,2516,113.87,13.19
212569000,9.2377,101.7532,Porvoo,Cargo,2979,89.95,15.25
219178000,11.7699,73.3348,Porvoo,Tanker,7636,129.75,19.88
230965000,10.7442,70.1734,Porvoo,Tanker,15980,169.5,23.78
230987660,8.6242,65.1087,Porvoo,Cargo,852,64.2,10.5
236500000,12.2858,75.0731,Porvoo,Tanker,11935,144.13,23.18
244092000,14.6805,79.1911,Porvoo,Tanker,7833,117.8,18.6
245229000,12.3187,64.1119,Porvoo,Tanker,1825,79.4,13.75
247661000,11.6998,76.3801,Porvoo,Tanker,7071,120.77,16.4
255714000,13.2697,60.3354,Porvoo,Tanker,3785,100.0,17.0
255735000,13.5657,72.2205,Porvoo,Tanker,3790,99.9,16.5
256656000,11.6045,59.2594,Porvoo,Tanker,3235,94.86,14.5
259768000,11.8492,80.343,Porvoo,Tanker,11935,144.1,23.19
538002774,11.5935,67.3823,Porvoo,Tanker,30641,195.0,32.24
538002778,11.3631,74.6552,Porvoo,Tanker,30641,195.0,32.24
636016683,10.9316,75.4213,Porvoo,Tanker,5440,108.0,16.8
636016752,11.6596,74.5962,Porvoo,Tanker,3853,92.94,15.3
244870429,11.7126,69.5662,Porvoo,Tanker,7251,115.0,18.6
305653000,10.8253,56.4266,Porvoo,Cargo,6668,107.03,18.42
235060255,11.7311,80.8663,Primorsk,Tanker,23353,184.0,27.65
538004934,9.9195,74.0026,Primorsk,Tanker,62647,250.0,44.04
566579000,6.8453,76.462,Primorsk,Tanker,24120,184.0,28.0
636014353,11.9506,74.1398,Primorsk,Tanker,62504,250.0,44.03
636015565,12.4056,81.3492,Primorsk,Tanker,66855,249.9,46.04
248792000,11.4175,71.6657,Sillamäe,Tanker,2627,92.86,14.1
